No.;Category;Brand;Product Name;Size;Wholesale Price (€);Suggested Selling Price (€);Profit per Unit (€);Margin %;Stock Available;Has Image;Source ID;EAN;Your Decision (KEEP/REMOVE/CHANGE PRICE);Your Custom Price (€)

--- PERFUMES (20 products) ---
37;Makeup;Avène;Avéne Couvrance Oil Free Compact Cream 1.4 Gold 8.5g;1.4 gr;22.09;54.95;32.86;59.8%;26;Yes;DST1300541;3282770146066;;
38;Makeup;L'Oréal;L’Oréal Paris Accord Parfait Nude Volumegevend Getint Serum Foundation met hyaluronzuur - 3-4 Light Medium - 30ml - V...;1 pcs;19.35;44.95;25.60;57.0%;122;Yes;DST846080;3600523990276;;
39;Makeup;Benefit;Benefit Hello Happy Velvet Powder Foundation 7g Shade 10;7 gr;18.27;44.95;26.68;59.4%;8;Yes;DST393166;602004106285;;
40;Makeup;Urban Decay;Urban Decay Stay Naked Correcting Concealer - 80WR Deep - Warm, Red;1 pcs;17.39;39.95;22.56;56.5%;16;Yes;DST390649;3605972134240;;

--- SKINCARE (20 products) ---

41;Skincare;Shiseido;Shiseido - FUTURE Solution LX Ultimate Serum - Face Serum;1 pcs;344.64;499.95;155.31;31.1%;8;Yes;DST24172;729238159501;;
42;Skincare;Guerlain;Guerlain Orchidee Imperiale Serum Facial 30ml;30 ml;322.54;469.95;147.41;31.4%;6;Yes;DST708309;3346470619685;;
43;Skincare;Dior;Dior Prestige Le Micro-Huile De Rose Advanced Serum;;289.17;419.95;130.78;31.1%;7;Yes;DST1368296;3348901609265;;
44;Skincare;Chanel;Chanel Sublimage La CrEme Yeux 15 G;15 gr;170.35;249.95;79.60;31.8%;56;Yes;DST1172446;3145891479003;;
45;Skincare;Estée Lauder;Estee Lauder, Re-Nutriv - Ultimate Radiant White Brightening Youth, White Tuberose Extract, Hydrates/Nourishes/Streng...;;138.35;224.95;86.60;38.5%;17;Yes;DST1326686;887167294165;;
46;Skincare;Lancôme;Lancome Serum Skin Care Absolue The Revitalizing Oleo Serum Anti Aging;1 pcs;126.87;204.95;78.08;38.1%;6;Yes;DST379334;3614272048553;;
47;Skincare;Elizabeth Arden;Elizabeth Arden Prevage Anti-Aging Moisture Cream Spf30 50ml;50 ml;111.14;179.95;68.81;38.2%;12;Yes;DST713289;85805259433;;
48;Skincare;Clarins;Clarins Anti-Veroudering Serum Restorative Clarins;50 ml;96.42;154.95;58.53;37.8%;76;Yes;DST844433;3380810013269;;
49;Skincare;Clinique;Clinique Smart Clinical Repair™ Wrinkle Correcting Serum 100ml;100 ml;95.59;154.95;59.36;38.3%;35;Yes;DST319460;192333101698;;
50;Skincare;Balmain;Balmain Overnight Repair Serum 30 Ml;30 ml;76.00;144.95;68.95;47.6%;20;Yes;DST844793;8719638146715;;
51;Skincare;Filorga;Filorga GLOBAL-REPAIR Multi-Revitaliserende Voedende Balsem 50 ml;50 ml;72.39;139.95;67.56;48.3%;5;Yes;DST318719;3540550011431;;
52;Skincare;Bobbi Brown;Extra Repair Intense Eye Cream - Regenerační oční krém 15ml;15 ml;69.74;134.95;65.21;48.3%;26;Yes;DST1280743;716170252292;;
53;Skincare;Nuxe;Nuxe Nuxuriance Gold Nutri-Revitalizing Serum 30ml;30 ml;56.35;109.95;53.60;48.7%;33;Yes;DST164115;3264680015939;;
54;Skincare;Biotherm;Biotherm Blue Retinol Serum Night - 30 ml;30 ml;55.12;104.95;49.83;47.5%;5;Yes;DST431328;3614273622554;;
55;Skincare;Origins;Origins, Plantscription Multi-Powered, Anti-Ageing, Serum, For Face, 50 ml;;54.63;104.95;50.32;47.9%;12;Yes;DST1329150;717334250444;;
56;Skincare;Kérastase;Kerastase Premiere Repair Serum 90 ml;;48.40;94.95;46.55;49.0%;58;Yes;DST1361891;3474637196677;;
57;Skincare;Sebastian;TWISTED moisturizing and detangling conditioner for curls and waves 1000 ml;;46.67;89.95;43.28;48.1%;34;Yes;DST4068359105223;4068359105223;;
58;Skincare;Avène;Avene DermAbsolu Essential Serum 30 ml;30 ml;45.53;89.95;44.42;49.4%;140;Yes;DST1299877;3282770395952;;
59;Skincare;Vichy;Vichy Dercos Regen Booster Hair Renewing Serum 90ml;;40.98;79.95;38.97;48.7%;150;Yes;DST1376150;3337875932080;;
60;Skincare;Acqua di Parma;Acqua di Parma Barbiere Moisturizing Face Cream - 50 ml - hydraterende gezichtscrème - huidverzorging;50 ml;39.78;79.95;40.17;50.2%;24;Yes;DST170940;8028713520075;;

--- HAIRCARE (20 products) ---

61;Haircare;Balmain;Balmain Hair Couture Homme Hair Perfume 100 ml;100 ml;100.62;164.95;64.33;39.0%;5;Yes;DST852032;8720246245080;;
62;Haircare;Olaplex;Olaplex Professional Travel Kit;1 pcs;91.36;149.95;58.59;39.1%;45;Yes;DST1290951;850018802857;;
63;Haircare;Carolina Herrera;Moroccanoil Color Complete Chromatech - Haarmasker - 1000 ml;1000 ml;78.16;149.95;71.79;47.9%;5;Yes;DST22884;7290017279091;;
64;Haircare;Paul Mitchell;Paul Mitchell Clean Beauty Hydrate Conditioner 1000 ml;1000 ml;61.30;119.95;58.65;48.9%;6;Yes;DST1248242;9531131894;;
65;Haircare;Kérastase;Kérastase Première Concentré - Calciumverwijderende Herstellende Pre-shampoo - Voor Beschadigd Haar - 250ml;;52.86;104.95;52.09;49.6%;68;Yes;DST1357936;3474637196684;;
66;Haircare;Sebastian;POTION 9 Leave-in Conditioner Styling Treatment Intense Hydration and Softness 500ml;;51.04;99.95;48.91;48.9%;49;Yes;DST4068359093926;4068359093926;;
67;Haircare;Moroccanoil;Moroccanoil Light Treatment - 200 ml;200 ml;50.34;99.95;49.61;49.6%;31;Yes;DST174350;7290011521684;;
68;Haircare;Redken;Redken Acidic Bonding Curls Conditioner 1000 ml;1000 ml;43.37;84.95;41.58;48.9%;16;Yes;DST1290474;3474637208714;;
69;Haircare;Wella;Sebastian Potion 9-500 ml met pomp;500 ml;41.62;79.95;38.33;47.9%;11;Yes;DST1190985;4064666066806;;
70;Haircare;Rituals;Set Rituals: The Ritual Of Sakura, Shower Mousse, 50 ml + The Ritual Of Sakura, Hydrating, Body Cream, 70 ml + The Ri...;;29.27;69.95;40.68;58.2%;206;Yes;DST1376217;8719134210880;;
71;Haircare;Narciso Rodriguez;Narciso Rodriguez NARCISO RODRIGUEZ FOR HER Hair mist - 30 ml;30 ml;27.70;64.95;37.25;57.4%;59;Yes;DST121876;3423470890228;;
72;Haircare;Vichy;Vichy - Dercos Neogenic Redensifying Shampoo - Restorative shampoo for hair density - 400ml;400 ml;25.83;59.95;34.12;56.9%;6;Yes;DST227609;3337871330019;;
73;Haircare;Prada;ghd Heat Protect Spray Bodyguard 120 ml;120 ml;25.07;59.95;34.88;58.2%;150;Yes;DST60799;5060356734214;;
74;Haircare;Revlon;Shampoo Revlon;1000 ml;24.67;59.95;35.28;58.8%;23;Yes;DST244762;8432225114743;;
75;Haircare;Schwarzkopf;Schwarzkopf - Bonacure Color Freeze Conditioner;1000 ml;22.48;54.95;32.47;59.1%;6;Yes;DST164958;4045787724158;;
76;Haircare;TIGI;Tigi Bed Head Resurrection Super Repair Conditioner 970 ml;970 ml;21.71;49.95;28.24;56.5%;28;Yes;DST162253;615908432091;;
77;Haircare;MAC;Lash Dry Shampoo Mascara Refresher - VrchnI Řasenka S Efektem SuchEho Šamponu Pro Objem Řas 6,5 Ml;6.5 ml;19.74;49.95;30.21;60.5%;14;Yes;DST1041805;773602646746;;
78;Haircare;Nuxe;Nuxe Prodigieux Néroli Multi-Purpose Dry Oil + High Shine Shampoo 100 ml + 30 ml;;19.20;44.95;25.75;57.3%;28;Yes;DST1354306;3264680039355;;
79;Haircare;La Roche-Posay;La Roche-Posay Gentle Shampoo Physiological Kerium - 400 ml;400 ml;17.31;39.95;22.64;56.7%;150;Yes;DST21930;3337872414282;;
80;Haircare;L'Oréal;Paris Elvive Blond Repair Regenerating Pre-shampoo By L'oreal 200 Ml;200 ml;13.58;34.95;21.37;61.1%;58;Yes;DST851459;3600524074548;;

--- BODY CARE (20 products) ---

81;Body Care;Guerlain;Guerlain Guer Orchidee Imp Aceite 30ml G062010;30 ml;158.60;229.95;71.35;31.0%;9;Yes;DST1296578;3346470620100;;
82;Body Care;Chanel;Chanel Coco Mademoiselle Silky Body Cream 150 g;;77.70;149.95;72.25;48.2%;45;Yes;DST1365788;3145891167900;;
83;Body Care;Estée Lauder;Estée Lauder Lauder Revitalizing Supreme Night Power Bounce Creme Mointurizer 50ml@;50 ml;75.99;144.95;68.96;47.6%;36;Yes;DST1296744;887167746831;;
84;Body Care;Shiseido;Shiseido Vital Perfection Uplifting y Firming Cream 50ml;50 ml;64.06;124.95;60.89;48.7%;150;Yes;DST1296581;768614209973;;
85;Body Care;Clinique;Clinique Smart Clinical Repair Wrinkle Corecting Cream Lim. Ed. 75 Ml;75 ml;60.93;119.95;59.02;49.2%;70;Yes;DST854370;192333149744;;
86;Body Care;Payot;Payot Suprême Youth Night Cream 50ml;50 ml;53.58;104.95;51.37;48.9%;135;Yes;DST1183500;3390150586019;;
87;Body Care;Clarins;Clarins Sun Care Cream SPF30 - Zonnebrand - 150 ml;150 ml;43.30;84.95;41.65;49.0%;9;Yes;DST844581;3380810304916;;
88;Body Care;Acqua di Parma;Acqua Di Parma - Barbiere Soft Shaving Cream 125 gr - scheercrème;1 pcs;40.82;79.95;39.13;48.9%;168;Yes;DST191237;8028713520051;;
89;Body Care;Dior;DIOR ADDICT LIPSTICK BARRA DE LABIOS 418 1UN;1 pcs;40.73;79.95;39.22;49.1%;11;Yes;DST327156;3348901609814;;
90;Body Care;Lancôme;Lancôme Nutrix Royal Body Butter Body Butter 200 gr;200 ml;36.00;69.95;33.95;48.5%;29;Yes;DST377238;3605530314176;;
91;Body Care;Jean Paul Gaultier;JEAN PAUL GAULTIER Gaultier Divine Shower Gel 200 ml;200 ml;34.28;69.95;35.67;51.0%;8;Yes;DST724501;8435415082921;;
92;Body Care;Carolina Herrera;Carolina Herrera Good Girl Body Cream - 200 ml;200 ml;34.15;64.95;30.80;47.4%;31;Yes;DST189514;8411061841631;;
93;Body Care;Moroccanoil;Moroccanoil Pure Argan Body Oil;50 ml;33.91;64.95;31.04;47.8%;39;Yes;DST119521;7290014344396;;
94;Body Care;Avène;Avène Hyaluron Activ B3 Celvernieuwing Crème;50 ml;31.89;64.95;33.06;50.9%;150;Yes;DST241630;3282770153170;;
95;Body Care;Burberry;Burberry Goddess Shower Gel 200ml;200 ml;30.98;59.95;28.97;48.3%;75;Yes;DST1197144;3616302023721;;
96;Body Care;Vichy;Vichy Capital Soleil SPF30 Frisse Hydraterende en Beschermende Zonnemelk - Lichaam en Gelaat 300ml;1 pcs;29.54;69.95;40.41;57.8%;5;Yes;DST52986;3337871321826;;
97;Body Care;Givenchy;GENTLEMAN SOCIETY shower gel 200 ml;;28.60;69.95;41.35;59.1%;34;Yes;DST3274872481640;3274872481640;;
98;Body Care;Molton Brown;Molton Brown Bath  Body Rosa Absolute Sumptuous Body Oil Olie 100ml;100 ml;27.93;64.95;37.02;57.0%;23;Yes;DST373313;8080129512;;
99;Body Care;La Roche-Posay;La Roche-Posay Anthelios Kind Wetskin gel zonnebrand SPF50+ Eco-tube 200ml ook geschikt op natte huid;200 ml;27.29;64.95;37.66;58.0%;72;Yes;DST852094;3337875845489;;
100;Body Care;Origins;Origins Ginger Souffle Whipped Body Cream;;27.01;64.95;37.94;58.4%;31;Yes;DST1368197;717334257092;;

--- MEN'S CARE (20 products) ---

101;Men's Care;Tom Ford;Tom ford Tobacco Vanille Eau De Parfum Spray  Unisex  100 ml for Men;100 ml;201.87;294.95;93.08;31.6%;51;Yes;DST373724;888066004503;;
102;Men's Care;Bvlgari;Bvlgari Le Gemme Ambero Eau De Parfum Spray 100 ml for Men;100 ml;199.85;289.95;90.10;31.1%;6;Yes;DST16154;783320521041;;
