No.;Category;Brand;Product Name;Size;Wholesale Price (€);Suggested Selling Price (€);Profit per Unit (€);Margin %;Stock Available;Source ID;EAN;Variant Group;Your Decision (KEEP/REMOVE);Your Custom Price (€)

--- PERFUMES ---
25;Perfumes;Acqua di Parma;Acqua di Parma Blu Mediterraneo Bergamotto di Calabria - 75 ml - eau de toilette spray - unisexparfum;75 ml;59.72;114.95;55.23;48.0%;23;DST17399;8028713570094;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
26;Perfumes;Acqua di Parma;Acqua di Parma Colonia Intensa 100 ml - Eau de Cologne - Herenparfum;100 ml;62.10;119.95;57.85;48.2%;9;DST17389;8028713210020;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
27;Perfumes;Acqua di Parma;Acqua Di Parma Blu Mediterraneo Mandorlo Di Sicilia Eau De Toilette Spray 100ml;100 ml;63.42;124.95;61.53;49.2%;21;DST1283556;8028713816680;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
28;Perfumes;Acqua di Parma;Acqua Di Parma Colonia 100 ml - Eau de Cologne - Unisex;100 ml;66.30;129.95;63.65;49.0%;35;DST17381;8028713000096;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
29;Perfumes;Acqua di Parma;Acqua Di Parma - Eau de cologne - Colonia Futura by Acqua Di Parma - 100 ml;100 ml;66.98;129.95;62.97;48.5%;3;DST342876;8028713280023;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
30;Perfumes;Acqua di Parma;Acqua di Parma Blu Mediterraneo Mirto di Panarea EDT U 100 ml;100 ml;68.64;134.95;66.31;49.1%;225;DST1290283;8028713816666;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
31;Perfumes;Acqua di Parma;Acqua Di Parma - Essenza - Eau De Cologne - 100ML;100 ml;68.81;134.95;66.14;49.0%;4;DST63621;8028713220029;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
32;Perfumes;Acqua di Parma;Acqua Di Parma Blu Mediterraneo Arancia Di Capri Eau De Toilette Spray 100ml;100 ml;69.66;134.95;65.29;48.4%;10;DST1289397;8028713816604;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
33;Perfumes;Acqua di Parma;Acqua Di Parma Blu Mediterraneo Bergamotto Di Calabria Eau De Toilette Spray 100ml;100 ml;74.53;144.95;70.42;48.6%;8;DST1278498;8028713816628;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
34;Perfumes;Acqua di Parma;Acqua Di Parma Blu Mediterraneo Fico Di Amalfi Eau De Toilette Spray 100ml;100 ml;80.47;129.95;49.48;38.1%;45;DST1278496;8028713816642;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
