No.;Category;Brand;Product Name;Size;Wholesale Price (€);Suggested Selling Price (€);Profit per Unit (€);Margin %;Stock Available;Source ID;EAN;Your Decision (KEEP/REMOVE);Your Custom Price (€)

--- PERFUMES (40 products) ---
39;Perfumes;Yves Saint Laurent;Yves Saint Laurent Black Opium 150 ml Eau de Parfum - Damesparfum;150 ml;113.60;184.95;71.35;38.6%;19;DST187655;3614271969477;;
40;Perfumes;Yves Saint Laurent;Yves Saint Laurent Libre Intense 90 ml Eau de Parfum - Damesparfum;90 ml;101.68;164.95;63.27;38.4%;10;DST88958;3614273069557;;

--- MAKEUP (40 products) ---

41;Makeup;Avène;Avéne Couvrance Oil Free Compact Cream 1.4 Gold 8.5g;1.4 gr;22.09;54.95;32.86;59.8%;26;DST1300541;3282770146066;;
42;Makeup;Avène;Couvrance Compact Cream Foundation 1.1 Natural;1 pcs;22.09;54.95;32.86;59.8%;47;DST1298210;3282770146110;;
43;Makeup;Avène;Couvrance Compact Cream Foundation 1.2 Sand;1 pcs;21.94;54.95;33.01;60.1%;78;DST1298342;3282770146097;;
44;Makeup;Caudalie;Caudalie Vinocrush Colour Cream Shade 2 30ml;30 ml;27.62;64.95;37.33;57.5%;6;DST1201713;3522930004103;;
45;Makeup;Chanel;CHANEL LES BEIGES PALETTE REGARD;1 pcs;56.22;109.95;53.73;48.9%;21;DST969298;3145891841909;;
46;Makeup;Chanel;Chanel Les Beiges Water-fresh Blush #warm Pink;1 pcs;44.98;89.95;44.97;50.0%;6;DST1281504;3145891849400;;
47;Makeup;Chanel;Chanel Rouge Allure Liquid Velvet 202-Secrète 6ml;6 ml;42.77;84.95;42.18;49.7%;6;DST1297854;3145891712025;;
48;Makeup;Clarins;Clarins Ombre 4 Couleurs Eyeshadow - Oogschaduw - 07 Bronze Gradation;1 pcs;36.38;69.95;33.57;48.0%;5;DST419643;3666057051814;;
49;Makeup;Clarins;"Clarins Foundation Skin Illusion Velvet Natural Matifying &amp; Hydrating Foundation 111N Auburn";30 ml;33.05;64.95;31.90;49.1%;18;DST845014;3380810482478;;
50;Makeup;Clarins;CLARINS - Tinted Oleo-Serum - 30 ml - Serum;30 ml;32.85;64.95;32.10;49.4%;50;DST845519;3666057161551;;
51;Makeup;Clinique;Clinique All About Shadow Quad Teddy Bear 4,8g;4.8 gr;37.93;74.95;37.02;49.4%;6;DST1296431;192333197790;;
52;Makeup;Clinique;Clinique Clq Even Better Ser Found F20 30ml;30 ml;32.73;64.95;32.22;49.6%;9;DST257224;192333078297;;
53;Makeup;Clinique;Clinique All About Shadow Duo Day Into Date 2,2g;2.2 gr;28.06;64.95;36.89;56.8%;8;DST1296436;192333201169;;
54;Makeup;Dior;Dior 5 Couleurs Sombra De Ojos 279 10ml;10 ml;57.09;109.95;52.86;48.1%;6;DST712875;3348901663465;;
55;Makeup;Dior;Dior 5 Couleurs Sombra De Ojos 429 10ml;10 ml;57.09;109.95;52.86;48.1%;8;DST724094;3348901663496;;
56;Makeup;Dior;"Romige Textuur - Langhoudende &amp; Intense Kleur Diorshow 5 Couleurs Couture Oogschaduwpalette - 559 Poncho";10 ml;57.09;109.95;52.86;48.1%;6;DST712878;3348901687676;;
57;Makeup;Guerlain;Guerlain Parure Gold Mate Make Up #2w;1 pcs;60.80;119.95;59.15;49.3%;6;DST233332;3346470436282;;
58;Makeup;Guerlain;Guerlain Guer Masc Noir g Terracotta Brnz 03 Set;1 pcs;48.53;94.95;46.42;48.9%;43;DST714757;3346470441835;;
59;Makeup;Guerlain;GUERLAIN - Parure Gold Skin Control High Perfection Matte Compacte Foundation - 8.7 gr - Foundation;1 pcs;48.40;94.95;46.55;49.0%;28;DST714795;3346470437920;;
60;Makeup;La Roche-Posay;La Roche-Posay Toleriane Corrigerende Minerale Compactpoeder - 11 Light Beige;1 pcs;26.56;64.95;38.39;59.1%;120;DST22249;3337872412042;;
61;Makeup;La Roche-Posay;La Roche-Posay Toleriane Corrective Fluid SPF25 11 30ml;11.30 ,ml;23.63;54.95;31.32;57.0%;112;DST1294734;3337875863926;;
62;Makeup;Lancôme;Lancôme Teint Idole Ultra Wear #345n 30ml;30 ml;42.75;84.95;42.20;49.7%;5;DST1284332;3614273792639;;
63;Makeup;Lancôme;Lancôme Teint Miracle Foundation 30 ml - 02 Lys Rosé - SPF 15;30 ml;37.16;74.95;37.79;50.4%;49;DST259126;3614271437983;;
64;Makeup;Lancôme;Lanc“me Teint Miracle Foundation 30 ml - 01 Beige Albatre;30 ml;34.90;69.95;35.05;50.1%;52;DST10350;3614271437952;;
65;Makeup;MAC;Studio Radiance Serum Powered Foundation - Hydratační make-up 30 ml;30 ml;35.95;69.95;34.00;48.6%;5;DST1287881;773602656653;;
66;Makeup;MAC;MAC MacStack Elevated Mascara;;23.15;54.95;31.80;57.9%;5;DST0773602727438;773602727438;;
67;Makeup;MAC;Mac Studio Waterweight Concealer Nc45 9 Ml;9 ml;22.64;54.95;32.31;58.8%;10;DST385384;773602463770;;
68;Makeup;NARS;Nars Pure Radiant Tinted Moisturizer SPF30;1 pcs;36.00;69.95;33.95;48.5%;12;DST97950;607845023647;;
69;Makeup;NARS;Light Reflecting Loose Setting Powder - Sypký pudr 11 g;11 gr;33.24;64.95;31.71;48.8%;9;DST1282177;194251075945;;
70;Makeup;NARS;NARS Climax Dramatic Volumizing Mascara 6 g for Woman;6 gr;25.35;59.95;34.60;57.7%;36;DST1254186;607845070085;;
71;Makeup;Narciso Rodriguez;Narciso Rodriguez Bleu Noir Mannen 100 ml;100 ml;52.34;99.95;47.61;47.6%;42;DST328032;3423222056070;;
72;Makeup;Payot;My Payot Crème Teintée Éclat Spf15 40ml;40 ml;22.33;54.95;32.62;59.4%;54;DST1222113;3390150585494;;
73;Makeup;Revlon;Revlon Magnet Blondes 7 Powder 750g;750 gr;26.31;64.95;38.64;59.5%;98;DST713559;8432225134338;;
74;Makeup;Shiseido;Dior Forever Cushion gezichtspoeder 010 Fair 10 g;1 ml;47.25;89.95;42.70;47.5%;29;DST309798;3348901506519;;
75;Makeup;Shiseido;Shiseido Creme Shiseido Huidverzorging Future Solution LX Creme Total Radiance Foundation SPF15 Neutral 3 30 ml;30 ml;45.67;89.95;44.28;49.2%;22;DST184663;729238139374;;
76;Makeup;Shiseido;SHISEIDO - Revitalessence Skin Glow Foundation SPF 30 PA+++ - 30 ml - Foundation;30 ml;30.88;59.95;29.07;48.5%;9;DST1178479;729238193512;;
77;Makeup;Vichy;Vichy Liftactiv Flexilift Anti-rimpel Foundation met een Liftend Effect - Sand 35;1 pcs;29.26;69.95;40.69;58.2%;44;DST154787;3337871321574;;
78;Makeup;Yves Saint Laurent;Yves Saint Laurent Mascara Volume Effet Faux Cils Radical;5 ml;32.63;64.95;32.32;49.8%;750;DST243779;3614272972636;;
79;Makeup;Yves Saint Laurent;Yves Saint Laurent Touche Eclat Concealer - 1 Rose Radiance;3 ml;31.53;59.95;28.42;47.4%;676;DST174397;3365440007017;;
80;Makeup;Yves Saint Laurent;Yves Saint Laurent Ysl Loveshine Lipstick #209 1 U;1 pcs;31.53;59.95;28.42;47.4%;5;DST1300727;3614274132779;;

--- SKINCARE (40 products) ---

81;Skincare;Avène;Avene DermAbsolu Essential Serum 30 ml;30 ml;45.53;89.95;44.42;49.4%;140;DST1299877;3282770395952;;
82;Skincare;Balmain;Balmain Overnight Repair Serum 30 Ml;30 ml;76.00;144.95;68.95;47.6%;20;DST844793;8719638146715;;
83;Skincare;Biotherm;Biotherm Blue Retinol Serum Night - 30 ml;30 ml;55.12;104.95;49.83;47.5%;5;DST431328;3614273622554;;
84;Skincare;Bobbi Brown;Extra Repair Intense Eye Cream - Regenerační oční krém 15ml;15 ml;69.74;134.95;65.21;48.3%;26;DST1280743;716170252292;;
85;Skincare;Chanel;Chanel Sublimage La CrEme Yeux 15 G;15 gr;170.35;249.95;79.60;31.8%;56;DST1172446;3145891479003;;
